user,tipo,plazo,activo,especie,fecha,cotiz_mep,operacion,cantidad,precio_ars,precio_usd
admin,BONOS,CI,GD30,GD30,2023-1-13 17:00:00+00:00,340.23,Compra,1771,107.2907,0.3153
admin,BONOS,CI,GD30,GD30D,2023-1-19 17:00:00+00:00,332.83,Venta,-1771,121.598529023151,0.3653
admin,CEDEARS,48hs,GOOGL,GOGLD,2023-1-27 17:00:00+00:00,352.78,Compra,115,624.4206,1.77
admin,ONS,48hs,IRCFO,IRCFO,2023-2-7 17:00:00+00:00,353.2,Compra,60,377.0277,1.0674
admin,ONS,48hs,YMCHO,YMCHO,2023-2-7 17:00:00+00:00,353.2,Compra,74,366.5316,1.0377
admin,CEDEARS,48hs,GOLD,GOLDD,2023-2-7 17:00:00+00:00,353.2,Compra,6,6728.46,19.05
admin,CEDEARS,48hs,GOOGL,GOGLD,2023-2-10 17:00:00+00:00,354.15,Compra,82,605.59,1.7099
admin,ONS,48hs,YMCHO,YMCHD,2023-2-14 17:00:00+00:00,355.28,Renta,0,0,0
admin,ONS,48hs,YMCHO,YMCHD,2023-2-14 17:00:00+00:00,355.28,Amortizaci�n,0,0,0
admin,ONS,48hs,YMCJO,YMCJD,2023-2-16 17:00:00+00:00,357.61,Compra,125,285,193975,0.7975
admin,CEDEARS,48hs,BRKB,BRKB,2023-3-8 17:00:00+00:00,372.86,Compra,10,5370,193,14.402
admin,ONS,48hs,YMCJO,YMCJD,2023-3-8 17:00:00+00:00,372.86,Compra,65,283,3736,0.76
admin,CEDEARS,48hs,XOM,XOM,2023-3-15 17:00:00+00:00,383.31,Compra,8,8052,788,21.008
admin,CEDEARS,48hs,GOLD,GOLDD,2023-3-17 17:00:00+00:00,388.84,Dividendo,0,0,0
admin,CEDEARS,48hs,TLC1O,TLC1D,2023-3-27 17:00:00+00:00,376.4,Compra,1000,371.90202,0.9880
admin,CEDEARS,48hs,BRKB,BRKBD,2023-3-30 17:00:00+00:00,391.82,Compra,30,5544.253,14.15
admin,ONS,48hs,YMCJO,YMCJD,2023-3-31 17:00:00+00:00,397.37,Renta,0,0,0
admin,CEDEARS,48hs,AMZN,AMZND,2023-4-3 17:00:00+00:00,396.94,Compra,627,286.19374,0.721
admin,CEDEARS,48hs,PYPL,PYPLD,2023-4-3 17:00:00+00:00,396.94,Compra,48,3830.471,9.65
admin,CEDEARS,48hs,XOM,XOMD,2023-4-3 17:00:00+00:00,396.94,Venta,-4,9526.56,24
admin,CEDEARS,48hs,XOM,XOMD,2023-4-4 17:00:00+00:00,402.41,Venta,-4,9738.322,24.2
admin,CEDEARS,48hs,GOLD,GOLDD,2023-4-13 17:00:00+00:00,388.14,Venta,-6,8015.091,20.65
admin,CEDEARS,48hs,PFE,PFED,2023-4-21 17:00:00+00:00,437.75,Compra,15,9017.65,20.6
admin,ONS,48hs,IRCFO,IRCFD,2023-4-24 17:00:00+00:00,449.02,Compra,390,471.92002,1.051
admin,CEDEARS,48hs,PFE,PFED,2023-5-3 17:00:00+00:00,429.46,Venta,-15,9018.66,21
admin,ONS,48hs,YMCHO,YMCHO,2023-5-15 17:00:00+00:00,437.66,Renta,0,0,0
admin,ONS,48hs,YMCHO,YMCHO,2023-5-15 17:00:00+00:00,437.66,Amortizaci�n,0,0,0
admin,MERVAL,48hs,HARG,HARG,2023-5-18 17:00:00+00:00,473.5,Compra,190,420.407,0.8878
admin,MERVAL,48hs,TRAN,TRAN,2023-5-18 17:00:00+00:00,473.5,Compra,362,295.29,0.6236
admin,MERVAL,48hs,CEPU,CEPU,2023-5-18 17:00:00+00:00,473.5,Compra,266,300.29,0.6341
admin,MERVAL,48hs,YPFD,YPFD,2023-5-18 17:00:00+00:00,473.5,Compra,7,5285.11,11.161
admin,MERVAL,48hs,AGRO,AGRO,2023-5-31 17:00:00+00:00,466.98,Compra,837,95.5,0.2045
admin,MERVAL,48hs,AGRO,AGRO,2023-5-31 17:00:00+00:00,466.98,Compra,851,94,0.2012
admin,MERVAL,48hs,CVH,CVH,2023-6-1 17:00:00+00:00,467.03,Compra,98,1333,2.8542
admin,MERVAL,48hs,CEPU,CEPU,2023-6-1 17:00:00+00:00,467.03,Venta,-266,344,0.7365
admin,MERVAL,48hs,YPFD,YPFD,2023-6-1 17:00:00+00:00,467.03,Venta,-7,5620,12.033
admin,CEDEARS,48hs,NKE,NKED,2023-6-6 17:00:00+00:00,471.8,Compra,32,4338.36,9.27
admin,CEDEARS,48hs,NKE,NKED,2023-6-8 17:00:00+00:00,473.92,Venta,-32,4824.6,10.2
