especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
AE38,ARS,CI,16118.0,16249.5,16140.0,-1.41,16348.0,16479.5,16030.0,172202,28050953.0,16370.0,16:30:21,BONOS
AE38,ARS,24hs,0.0,16423.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
AE38,ARS,48hs,15900.0,17000.0,16200.0,-0.91,16400.0,16569.5,16150.0,1782193,290894056.0,16348.0,17:00:19,BONOS
AE38D,MEP,CI,32.5,37.3,32.5,-2.11,33.35,33.35,32.5,47040,15505.0,33.2,16:30:20,BONOS
AE38D,MEP,24hs,0.0,33.87,33.87,-1.23,34.2,34.2,33.87,120000,40839.0,34.29,17:00:11,BONOS
AE38D,MEP,48hs,31.25,36.0,33.2,-0.42,33.9,33.9,32.5,368783,122609.0,33.34,17:00:14,BONOS
AL29,ARS,CI,14915.0,16000.0,15049.0,-0.93,15080.0,15195.0,14891.5,156035,23480336.0,15190.0,16:30:10,BONOS
AL29,ARS,24hs,14987.5,15100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
AL29,ARS,48hs,14900.0,22300.0,15070.0,0.13,15050.0,15220.0,14950.0,260460,39195390.0,15050.0,16:55:54,BONOS
AL29D,MEP,CI,30.18,33.47,30.15,0.5,29.16,30.5,29.1,63185,18928.0,30.0,16:30:18,BONOS
AL29D,MEP,24hs,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
AL29D,MEP,48hs,26.0,31.0,30.55,1.64,29.91,30.9,29.91,86134,26321.0,30.06,17:00:11,BONOS
AL30,ARS,CI,13935.0,14383.0,13991.0,-0.3,14385.0,14385.0,13922.0,114729364,16049632699.0,14033.5,16:30:17,BONOS
AL30,ARS,24hs,13985.0,14078.0,14019.0,-0.19,14000.0,14117.0,13960.0,813346,114118230.0,14045.0,17:00:10,BONOS
AL30,ARS,48hs,14000.5,14050.0,14020.0,-0.28,14130.0,14130.0,13985.0,120323131,16896597650.0,14060.0,17:00:02,BONOS
AL30C,CCL,CI,26.55,28.35,26.64,-1.33,26.74,27.0,26.5,7207695,1925240.0,27.0,16:30:21,BONOS
AL30C,CCL,24hs,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
AL30C,CCL,48hs,26.55,28.35,27.23,-1.27,27.0,27.23,27.0,357115,97226.0,27.58,17:00:23,BONOS
AL30D,MEP,CI,27.5,28.51,28.35,-0.45,27.7,28.44,27.7,73004261,20626698.0,28.48,16:30:21,BONOS
AL30D,MEP,24hs,28.36,30.0,28.36,-0.7,28.2,28.8,27.5,3923097,1112428.0,28.56,17:00:27,BONOS
AL30D,MEP,48hs,28.15,28.8,28.48,-0.77,28.5,28.65,28.18,70913548,20194890.0,28.7,17:00:18,BONOS
AL35,ARS,CI,15000.0,15425.5,15000.0,-2.74,15253.0,15750.0,15000.0,106436,16411146.0,15422.0,16:30:29,BONOS
AL35,ARS,24hs,15050.0,15649.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
AL35,ARS,48hs,15190.0,15450.0,15192.5,-1.92,15898.0,15898.0,15191.5,3037834,465418774.0,15490.0,17:00:10,BONOS
AL35D,MEP,CI,31.25,32.0,31.46,-0.03,30.4,31.75,30.15,40381,12665.0,31.47,16:30:28,BONOS
AL35D,MEP,48hs,20.11,34.0,31.45,-1.32,31.0,32.0,30.69,151348,47558.0,31.87,17:00:26,BONOS
AL41,ARS,CI,14630.0,14875.0,14630.0,-0.62,14600.0,15000.0,14600.0,106791,15646733.0,14721.0,16:30:20,BONOS
