especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
AAL,ARS,CI,200.0,5150.0,4901.0,0.54,4851.0,4992.0,4832.0,18,88012.0,4874.5,16:30:00,CEDEARS
AAL,ARS,48hs,1000.0,5600.0,4921.5,0.11,4886.0,4953.5,4858.5,766,3752342.0,4916.0,17:00:02,CEDEARS
AALD,MEP,48hs,7.1,15.0,9.59,0.0,9.59,9.59,9.59,99,949.0,9.59,17:00:02,CEDEARS
AAPL,ARS,CI,9000.0,10600.0,10309.0,0.8,10255.0,10441.0,10100.0,3068,31346620.0,10227.5,16:30:00,CEDEARS
AAPL,ARS,24hs,10116.0,10364.0,10364.0,-0.67,10364.0,10364.0,10364.0,4,41456.0,10434.0,17:00:00,CEDEARS
AAPL,ARS,48hs,10150.0,10465.0,10310.0,0.76,10264.0,10439.5,10150.0,80637,826379999.0,10232.5,17:00:01,CEDEARS
AAPLD,MEP,CI,20.65,21.7,21.0,1.2,21.5,21.9,20.45,1127,23341.0,20.75,16:30:00,CEDEARS
AAPLD,MEP,24hs,20.4,21.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AAPLD,MEP,48hs,20.0,21.0,20.75,-0.24,20.9,21.0,20.4,16238,334707.0,20.8,17:00:01,CEDEARS
ABBV,ARS,CI,100.0,7370.0,7073.5,1.17,7359.5,7359.5,6993.5,9,65090.0,6992.0,16:30:00,CEDEARS
ABBV,ARS,48hs,7050.0,7600.0,7286.5,1.15,7306.5,7307.0,7200.0,826,6001686.0,7203.5,17:00:02,CEDEARS
ABBVD,MEP,CI,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
ABBVD,MEP,48hs,11.5,16.25,15.2,1.0,15.1,15.2,15.1,8,121.0,15.05,17:00:02,CEDEARS
ABEV,ARS,CI,0.0,4870.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
ABEV,ARS,24hs,0.0,4850.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
ABEV,ARS,48hs,1600.0,5050.0,4795.0,-0.17,4777.0,4835.0,4740.0,318,1517461.0,4803.0,17:00:01,CEDEARS
ABNB,ARS,CI,4960.5,0.0,5179.0,-0.86,5179.0,5179.0,5179.0,10,51790.0,5224.0,16:30:00,CEDEARS
ABNB,ARS,48hs,5084.0,5500.0,5095.0,-1.63,5179.5,5198.0,5050.5,1484,7600136.0,5179.5,17:00:02,CEDEARS
ABNBD,MEP,48hs,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
