especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
AAL,ARS,CI,4590.0,2.02,4694.0,4499.0,16:30:00,CEDEARS
AAL,ARS,48hs,4648.0,2.18,4609.0,4549.0,17:00:01,CEDEARS
AALD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
ABBV,ARS,CI,7256.0,3.81,7289.0,6990.0,16:30:00,CEDEARS
ABBV,ARS,48hs,7178.5,3.86,6966.0,6911.5,17:00:01,CEDEARS
ABBVD,MEP,48hs,15.0,2.04,14.8,14.7,17:00:01,CEDEARS
ABEV,ARS,CI,5125.0,9.54,5125.0,4678.5,16:30:00,CEDEARS
ABEV,ARS,48hs,4731.0,-3.45,4836.5,4900.0,17:00:01,CEDEARS
ABNB,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
ABNB,ARS,48hs,4500.0,2.44,4401.5,4393.0,17:00:01,CEDEARS
ABT,ARS,CI,13279.0,-3.36,13279.5,13740.0,16:30:00,CEDEARS
ABT,ARS,48hs,14017.0,0.33,13950.0,13971.0,17:00:01,CEDEARS
ABTD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
ABTD,MEP,48hs,29.1,5.82,29.1,27.5,17:00:01,CEDEARS
ADBE,ARS,CI,11100.5,-0.6,11301.5,11168.0,16:30:00,CEDEARS
ADBE,ARS,48hs,11454.0,0.07,11624.0,11445.5,17:00:01,CEDEARS
ADBED,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
ADBED,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
ADGO,ARS,CI,9606.0,0.06,9373.0,9600.0,16:30:00,CEDEARS
ADGO,ARS,48hs,9748.5,1.84,9718.0,9572.5,17:00:01,CEDEARS
ADI,ARS,CI,6666.0,5.47,6470.0,6320.0,16:30:00,CEDEARS
ADI,ARS,48hs,6552.5,-1.12,6607.5,6626.5,17:00:01,CEDEARS
AEM,ARS,CI,8691.5,8.58,8330.5,8005.0,16:30:00,CEDEARS
AEM,ARS,48hs,8679.5,1.36,8585.0,8563.0,17:00:01,CEDEARS
AIG,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
AIG,ARS,48hs,6000.0,2.02,5910.0,5881.0,17:00:01,CEDEARS
AKO.B,ARS,48hs,8188.5,1.88,8064.5,8037.5,17:00:01,CEDEARS
AMAT,ARS,CI,14233.0,3.14,14234.5,13800.0,16:30:00,CEDEARS
AMAT,ARS,48hs,14561.0,-1.33,15017.0,14757.5,17:00:01,CEDEARS
AMD,ARS,CI,6049.5,4.07,5840.0,5813.0,16:30:00,CEDEARS
AMD,ARS,24hs,5993.0,7.11,5993.0,5595.0,17:00:00,CEDEARS
AMD,ARS,48hs,6017.5,2.99,5900.0,5843.0,17:00:01,CEDEARS
AMDD,MEP,CI,12.6,2.02,12.35,12.35,16:30:00,CEDEARS
AMDD,MEP,48hs,12.75,5.37,12.25,12.1,17:00:01,CEDEARS
AMGN,ARS,CI,11700.0,3.4,11400.0,11315.0,16:30:00,CEDEARS
AMGN,ARS,48hs,11699.0,2.8,11400.0,11380.0,17:00:01,CEDEARS
AMGND,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
AMZN,ARS,CI,472.5,2.72,467.0,460.0,16:30:00,CEDEARS
AMZN,ARS,24hs,480.5,2.45,460.0,469.0,17:00:00,CEDEARS
AMZN,ARS,48hs,473.0,1.94,466.5,464.0,17:00:01,CEDEARS
AMZND,MEP,CI,0.99,6.02,0.99,0.93,16:30:00,CEDEARS
AMZND,MEP,48hs,0.98,2.3,0.98,0.96,17:00:01,CEDEARS
ARCO,ARS,CI,10005.0,0.26,10005.0,9979.0,16:30:00,CEDEARS
ARCO,ARS,48hs,10375.0,-1.08,10488.0,10488.0,17:00:01,CEDEARS
ARCOD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
ARKK,ARS,CI,2285.5,1.58,2315.0,2250.0,16:30:00,CEDEARS
ARKK,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
ARKK,ARS,48hs,2330.0,2.85,2312.0,2265.5,17:00:01,CEDEARS
ARKKD,MEP,CI,4.9,6.52,4.83,4.6,16:30:00,CEDEARS
ARKKD,MEP,48hs,4.96,8.77,4.99,4.56,17:00:01,CEDEARS
AVY,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
AVY,ARS,48hs,4852.5,-0.05,4910.0,4855.0,17:00:01,CEDEARS
AXP,ARS,CI,6000.5,1.02,5980.0,5940.0,16:30:00,CEDEARS
AXP,ARS,48hs,6198.5,3.78,6200.0,5973.0,17:00:01,CEDEARS
