tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
CEDEARS;AMZN;AMZND;AMZNC;AMZN;Amazon.Com Inc.;NYSE;144;True
CEDEARS;AAPL;AAPLD;AAPLC;AAPL;Apple Inc.;NASDAQ;10;True
CEDEARS;GOOGL;GOGLD;GOGLC;GOOGL;Alphabet Inc.;NASDAQ;58;True
CEDEARS;ARKK;ARKKD;ARKKC;;ARK INNOVATION;NYSE Arca;10;True
CEDEARS;DIA;DIAD;DIAC;;SPDR DOW JONES INDUSTRIAL;NYSE Arca;20;True
CEDEARS;EEM;EEMD;EEMC;;ISHARES MSCI EMERGING MARKET;NYSE Arca;5;True
CEDEARS;EWZ;EWZD;EWZC;;ISHARES MSCI BRAZIL CAP;NYSE Arca;2;True
CEDEARS;IWM;IWMD;IWMC;;ISHARES TRUST RUSSELL 2000;NYSE Arca;10;True
CEDEARS;QQQ;QQQD;QQQC;;INVESCO QQQ TRUST;NASDAQ;20;True
CEDEARS;SPY;SPYD;SPYC;;SPDR S&P 500;NYSE Arca;20;True
CEDEARS;XLE;XLED;XLEC;;ENERGY SELECT SECTOR SPDR FUND;NYSE Arca;2;True
CEDEARS;XLF;XLFD;XLFC;;FINANCIAL SELECT SECTOR SPDR FUND;NYSE Arca;2;True
CEDEARS;XLEB;;;;FINANCIAL SELECT SECTOR SPDR FUND;NYSE Arca;2;True
CEDEARS;KO;KOD;KOC;KO;The Coca Cola Company;NYSE;5;True
CEDEARS;NIO;NIOD;NIOC;NIO;NIO Inc.;NYSE;4;True
CEDEARS;COIN;COIND;;COIN;Coinbase Global Inc;NASDAQ;27;True
CEDEARS;PBR;PBRD;PBRC;PBR;Petrobras (ADR);NYSE;1;True
CEDEARS;BB;;;BB;Blackberry Limited;NASDAQ;3;True
CEDEARS;AMD;AMDD;AMDC;AMD;Advanced Micro Devices Inc.;NASDAQ;10;True
CEDEARS;BABA;BABAD;BABAC;BABA;Alibaba Group Holding Limited;NYSE;9;True
CEDEARS;DISN;DISND;DISNC;DIS;The Walt Disney Co.;NYSE;12;True
CEDEARS;MELI;MELID;MELIC;MELI;Mercadolibre Inc.;NASDAQ;60;True
CEDEARS;VIST;VISTD;VISTC;VIST;Vista Energy S.A.B. de C.V.;NYSE;1;True
CEDEARS;TSLA;TSLAD;TSLAC;TSLA;Tesla Inc.;NASDAQ;15;True
CEDEARS;SHOP;SHOPD;SHOPC;SHOP;Shopify Inc.;NYSE;107;True
CEDEARS;MSFT;MSFTD;MSFTC;MSFT;Microsoft Corp.;NASDAQ;30;True
