especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
D31O3,ARS,CI,28910.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,LETRAS
D31O3,ARS,48hs,29750.0,30000.0,29750.0,-0.5,29760.0,29760.0,29750.0,17580,5230050.0,29900.0,17:00:21,LETRAS
S31L3,ARS,CI,1.2,98.1,97.82,-0.29,97.14,98.65,97.14,4313719391,4222735356.0,98.1,16:30:11,LETRAS
S31L3,ARS,24hs,97.93,97.87,97.73,0.13,97.87,97.87,97.73,261956,256228.0,97.6,17:00:27,LETRAS
S31L3,ARS,48hs,97.85,100.0,98.2,0.34,98.5,98.51,97.9,225264054,221133420.0,97.87,17:00:25,LETRAS
SL3D,MEP,CI,0.2,0.2,0.2,-0.51,0.2,0.2,0.2,2927510244,5782456.0,0.2,16:30:05,LETRAS
SL3D,MEP,24hs,0.2,0.0,0.2,-0.51,0.2,0.2,0.2,2589214,5048.0,0.2,17:00:10,LETRAS
SL3D,MEP,48hs,0.2,0.2,0.2,0.0,0.2,0.2,0.2,24636426,48537.0,0.2,17:00:24,LETRAS
SL3X,ARS,CI,0.0,0.0,97.98,0.29,0.0,97.98,97.98,900000000,881820000.0,97.7,16:30:01,LETRAS
X18O3,ARS,CI,115.49,119.0,115.5,0.36,115.82,116.1,115.5,4957219,5737672.0,115.08,16:30:05,LETRAS
X18O3,ARS,24hs,115.75,115.95,115.95,0.35,115.95,115.95,115.95,4000000000,4638000000.0,115.55,17:00:20,LETRAS
X18O3,ARS,48hs,116.07,116.2,116.2,0.3,115.4,117.0,115.4,1142234107,1326091750.0,115.85,17:00:05,LETRAS
X18S3,ARS,CI,180.0,182.4,182.4,0.22,181.0,189.75,181.0,76970331,140472029.0,182.0,16:30:13,LETRAS
X18S3,ARS,24hs,182.59,183.25,183.25,2.09,183.0,183.25,183.0,3873374,7095895.0,179.5,17:00:24,LETRAS
X18S3,ARS,48hs,183.1,183.25,183.25,0.0,183.0,192.75,181.5,1710820226,3129714306.0,183.25,17:00:05,LETRAS
X23N3,ARS,CI,112.75,113.9,112.75,0.43,112.5,117.15,112.03,7200145,8140210.0,112.27,16:30:04,LETRAS
X23N3,ARS,24hs,112.93,0.0,112.83,1.29,112.83,112.83,112.83,10000,11283.0,111.4,17:00:10,LETRAS
X23N3,ARS,48hs,108.0,115.46,113.3,0.6,112.2,115.46,110.5,799957632,903909269.0,112.62,17:00:22,LETRAS
XN3X,ARS,CI,0.0,0.0,113.3,2.35,0.0,113.3,113.3,18304704,20739229.0,110.7,16:30:01,LETRAS
XN3X,ARS,48hs,0.0,0.0,113.0,0.13,0.0,113.0,111.25,1110560000,1247043000.0,112.85,17:00:07,LETRAS
XO3X,ARS,48hs,0.0,0.0,116.18,0.33,0.0,116.18,116.05,700000000,812860000.0,115.8,17:00:07,LETRAS
XS3X,ARS,CI,0.0,0.0,182.35,0.47,0.0,182.35,182.35,200000000,364700000.0,181.5,16:30:01,LETRAS
XS3X,ARS,24hs,0.0,0.0,182.55,1.19,0.0,182.55,182.55,50000000,91275000.0,180.4,17:00:07,LETRAS
XS3X,ARS,48hs,0.0,0.0,182.85,0.33,0.0,182.85,182.8,324000000,592372000.0,182.25,17:00:07,LETRAS
