especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
ALUA,ARS,CI,434.5,450.0,437.0,2.22,439.5,439.5,419.0,12069,5226133.0,427.5,16:30:00,MERVAL
ALUA,ARS,24hs,375.0,460.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
ALUA,ARS,48hs,420.0,444.0,438.5,1.98,433.0,439.0,420.5,847355,368600224.0,430.0,17:00:01,MERVAL
BBAR,ARS,CI,20.0,1075.0,1066.25,0.59,1068.1,1090.0,1036.0,13470,14058223.0,1059.95,16:30:00,MERVAL
BBAR,ARS,24hs,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
BBAR,ARS,48hs,999.0,1100.0,1072.45,0.41,1077.9,1077.9,1036.0,121667,128684894.0,1068.1,17:00:01,MERVAL
BMA,ARS,CI,1532.0,1650.0,1598.5,1.77,1585.0,1600.0,1521.0,30845,48061769.0,1570.65,16:30:00,MERVAL
BMA,ARS,24hs,1542.95,1600.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
BMA,ARS,48hs,1515.0,1598.0,1552.0,-1.15,1597.0,1597.0,1515.05,213615,332738689.0,1570.0,17:00:01,MERVAL
BYMA,ARS,CI,330.0,430.0,376.0,-0.79,390.0,390.0,371.5,8358,3172274.0,379.0,16:30:00,MERVAL
BYMA,ARS,24hs,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
BYMA,ARS,48hs,371.5,390.0,379.0,-0.52,381.0,386.5,372.0,128877,48935221.0,381.0,17:00:01,MERVAL
CEPU,ARS,CI,363.0,369.9,361.05,-3.29,374.0,374.0,348.05,4698,1696787.0,373.35,16:30:00,MERVAL
CEPU,ARS,24hs,360.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
CEPU,ARS,48hs,358.95,370.0,363.2,-2.09,369.05,378.25,355.0,583022,210165788.0,370.95,17:00:01,MERVAL
COME,ARS,CI,44.85,45.1,45.1,-1.96,45.4,46.65,44.35,192264,8634833.0,46.0,16:30:00,MERVAL
COME,ARS,24hs,44.65,49.0,44.55,-10.9,45.0,45.0,44.55,94,4207.0,50.0,17:00:00,MERVAL
COME,ARS,48hs,38.5,46.0,45.05,-0.77,45.0,46.5,44.5,1308784,58816036.0,45.4,17:00:01,MERVAL
CRES,ARS,CI,412.5,450.0,416.65,-2.24,432.65,436.95,403.0,10479,4474057.0,426.2,16:30:00,MERVAL
CRES,ARS,24hs,418.55,440.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
CRES,ARS,48hs,350.0,432.0,420.5,-3.21,436.0,440.8,415.2,293227,123823038.0,434.45,17:00:01,MERVAL
EDN,ARS,CI,428.2,460.0,429.65,-1.41,438.2,444.1,417.75,8302,3569392.0,435.8,16:30:00,MERVAL
EDN,ARS,24hs,424.05,442.5,425.0,-0.7,425.0,425.0,418.6,149,63043.0,428.0,17:00:00,MERVAL
EDN,ARS,48hs,413.0,444.0,431.25,-1.59,437.0,442.0,420.5,311723,134294054.0,438.2,17:00:01,MERVAL
GGAL,ARS,CI,490.0,950.0,905.95,-1.16,913.05,919.95,890.05,87549,79127763.0,916.55,16:30:00,MERVAL
GGAL,ARS,24hs,900.0,947.25,906.7,-3.03,926.7,926.7,895.0,153,138830.0,935.0,17:00:00,MERVAL
GGAL,ARS,48hs,895.0,950.0,905.8,-1.48,930.5,930.5,892.0,1302844,1177543472.0,919.4,17:00:01,MERVAL
LOMA,ARS,CI,700.0,760.0,709.0,-1.58,735.0,739.0,705.05,3926,2794646.0,720.4,16:30:00,MERVAL
LOMA,ARS,24hs,707.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
LOMA,ARS,48hs,700.0,740.0,711.9,-1.25,732.85,732.85,704.0,200979,143078172.0,720.9,17:00:01,MERVAL
MIRG,ARS,CI,8960.0,9300.0,8980.0,-1.32,9010.0,9099.5,8950.0,94,853088.0,9100.0,16:30:00,MERVAL
MIRG,ARS,24hs,8980.0,9958.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
MIRG,ARS,48hs,8845.0,9200.0,9081.0,-0.17,9270.0,9270.0,8990.0,3120,28266274.0,9096.5,17:00:01,MERVAL
PAMP,ARS,CI,918.0,993.0,940.0,-0.9,959.5,959.5,914.5,36325,33500917.0,948.55,16:30:00,MERVAL
PAMP,ARS,24hs,920.0,990.0,930.0,0.11,930.0,930.0,930.0,15,13950.0,929.0,17:00:00,MERVAL
PAMP,ARS,48hs,910.0,955.0,926.25,-2.13,957.8,957.8,915.0,1055619,980793303.0,946.4,17:00:01,MERVAL
SUPV,ARS,CI,330.5,349.5,334.0,-1.4,350.0,350.0,328.85,11653,3925718.0,338.75,16:30:00,MERVAL
SUPV,ARS,24hs,234.0,0.0,230.0,1.66,230.0,230.0,230.0,2,460.0,226.25,17:00:00,MERVAL
SUPV,ARS,48hs,327.0,350.0,333.5,-1.84,341.0,345.45,325.0,242653,80832622.0,339.75,17:00:01,MERVAL
TECO2,ARS,CI,600.0,660.0,628.0,-2.86,646.5,646.5,618.1,4167,2608905.0,646.5,16:30:00,MERVAL
TECO2,ARS,48hs,620.0,651.55,626.6,-1.53,645.0,645.0,617.5,197325,123425462.0,636.35,17:00:01,MERVAL
TGNO4,ARS,CI,644.0,680.0,660.0,1.69,661.5,662.0,648.5,7105,4651794.0,649.0,16:30:00,MERVAL
TGNO4,ARS,24hs,636.0,675.0,671.5,-0.44,671.5,674.0,666.0,1384,929201.0,674.5,17:00:00,MERVAL
TGNO4,ARS,48hs,655.0,688.0,676.0,2.58,660.0,681.0,651.5,137569,91506742.0,659.0,17:00:01,MERVAL
TGSU2,ARS,CI,1417.7,1499.0,1412.0,-3.34,1450.0,1470.0,1401.0,5059,7177443.0,1460.8,16:30:00,MERVAL
TGSU2,ARS,24hs,1404.2,1555.0,1405.55,-3.29,1405.55,1405.55,1405.55,3,4216.0,1453.35,17:00:00,MERVAL
TGSU2,ARS,48hs,1400.0,1436.0,1413.15,-2.65,1463.0,1463.0,1400.0,118739,167808329.0,1451.6,17:00:01,MERVAL
TRAN,ARS,CI,369.0,395.0,375.0,0.81,369.5,383.5,369.0,11536,4271711.0,372.0,16:30:00,MERVAL
TRAN,ARS,24hs,330.0,384.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
TRAN,ARS,48hs,334.0,387.0,377.5,0.8,383.0,383.0,367.0,131241,48938366.0,374.5,17:00:01,MERVAL
TXAR,ARS,CI,413.0,443.0,441.0,0.46,437.0,445.0,430.0,19558,8553126.0,439.0,16:30:00,MERVAL
TXAR,ARS,48hs,400.0,446.5,444.0,1.72,437.0,445.0,434.0,946951,417248856.0,436.5,17:00:01,MERVAL
VALO,ARS,CI,105.5,112.0,107.25,0.0,108.75,109.0,105.0,9614,1015979.0,107.25,16:30:00,MERVAL
VALO,ARS,24hs,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
VALO,ARS,48hs,104.0,107.75,106.75,-1.84,109.0,109.75,105.0,360026,38240329.0,108.75,17:00:02,MERVAL
YPFD,ARS,CI,7551.0,8600.0,8108.5,-0.62,8212.0,8282.3,7947.35,11432,92182246.0,8158.9,16:30:00,MERVAL
YPFD,ARS,24hs,8015.0,8199.95,8100.0,-1.22,8268.0,8268.0,8000.6,875,7079372.0,8200.1,17:00:00,MERVAL
YPFD,ARS,48hs,8100.0,8200.0,8144.2,-0.81,8150.0,8245.0,8000.0,110116,892328646.0,8210.85,17:00:01,MERVAL
AGRO,ARS,CI,148.5,150.5,147.5,4.06,145.0,150.75,143.25,9827,1455353.0,141.75,16:30:00,MERVAL
AGRO,ARS,24hs,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
AGRO,ARS,48hs,140.0,151.0,147.5,0.51,148.0,152.0,143.0,145978,21648716.0,146.75,17:08:32,MERVAL
