especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
ALUA,ARS,CI,375.0,3.59,358.5,362.0,16:30:00,MERVAL
ALUA,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
ALUA,ARS,48hs,374.5,3.03,363.5,363.5,17:00:01,MERVAL
BBAR,ARS,CI,1057.6,4.87,1029.25,1008.5,16:30:00,MERVAL
BBAR,ARS,48hs,1064.8,4.33,1035.0,1020.65,17:00:01,MERVAL
BMA,ARS,CI,1474.5,5.26,1432.0,1400.8,16:30:00,MERVAL
BMA,ARS,24hs,1428.0,-0.86,1440.45,1440.45,17:00:00,MERVAL
BMA,ARS,48hs,1508.1,5.3,1432.0,1432.15,17:00:01,MERVAL
BYMA,ARS,CI,398.0,3.65,400.0,384.0,16:30:00,MERVAL
BYMA,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
BYMA,ARS,48hs,398.0,2.18,395.5,389.5,17:00:01,MERVAL
CEPU,ARS,CI,357.65,2.45,360.0,349.1,16:30:00,MERVAL
CEPU,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
CEPU,ARS,48hs,350.4,-1.04,357.0,354.1,17:00:01,MERVAL
COME,ARS,CI,34.75,3.73,34.0,33.5,16:30:00,MERVAL
COME,ARS,48hs,34.8,2.81,34.0,33.85,17:00:01,MERVAL
CRES,ARS,CI,405.0,2.67,404.95,394.45,16:30:00,MERVAL
CRES,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
CRES,ARS,48hs,402.05,0.19,405.0,401.3,17:00:01,MERVAL
EDN,ARS,CI,394.3,1.34,392.0,389.1,16:30:00,MERVAL
EDN,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
EDN,ARS,48hs,393.45,0.59,398.3,391.15,17:00:01,MERVAL
GGAL,ARS,CI,898.55,1.69,900.0,883.6,16:30:00,MERVAL
GGAL,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
GGAL,ARS,48hs,919.05,3.75,888.0,885.8,17:00:01,MERVAL
LOMA,ARS,CI,742.6,3.96,725.0,714.3,16:30:00,MERVAL
LOMA,ARS,24hs,732.4,3.66,729.0,706.52,17:00:00,MERVAL
