tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
MERVAL;AGRO;;;;AGROMETAL S.A.;BCBA;1;True
MERVAL;ALUA;;;;ALUAR ALUMINIO ARGENTINO S.A.;BCBA;1;True
MERVAL;AUSO;;;;AUTOPISTAS DEL SOL S.A.;BCBA;1;True
MERVAL;BBAR;;;;BANCO BBVA ARGENTINA S.A.;BCBA;1;True
MERVAL;BHIP;;;;BANCO HIPOTECARIO S.A.;BCBA;1;True
MERVAL;BMA;;;;BANCO MACRO S.;BCBA;1;True
MERVAL;BOLT;;;;BOLDT S.A.;BCBA;1;True
MERVAL;BPAT;;;;BANCO PATAGONIA S.A.;BCBA;1;True
MERVAL;BYMA;;;;BOLSAS Y MERCADOS ARGENTINOS S.A.;BCBA;1;True
MERVAL;CADO;;;;CARLOS CASADO S.A.;BCBA;1;True
MERVAL;CAPX;;;;CAPEX S.A.;BCBA;1;True
MERVAL;CARC;;;;CARBOCLOR S.A.;BCBA;1;True
MERVAL;CECO2;;;;ENEL GENERACIÓN COSTANERA S.A.;BCBA;1;True
MERVAL;CELU;;;;CELULOSA ARGENTINA S.A.;BCBA;1;True
MERVAL;CEPU;;;;CENTRAL PUERTO S.A.C;BCBA;1;True
MERVAL;CGPA2;;;;CAMUZZI GAS PAMPEANA S.A.;BCBA;1;True
MERVAL;COME;;;;SOCIEDAD COMERCIAL DEL PLATA S.A.;BCBA;1;True
MERVAL;CRES;;;;CRESUD S.A.;BCBA;1;True
MERVAL;CTIO;;;;CONSULTATIO S.A.;BCBA;1;True
MERVAL;CVH;;;;CABLEVISIÓN HOLDING S.;BCBA;1;True
MERVAL;DGCU2;;;;DISTRIBUIDORA DE GAS CUYANA S.A.;BCBA;1;True
MERVAL;DOME;;;;DOMEC S.A.;BCBA;1;True
MERVAL;DYCA;;;;DYCASA SOCIEDAD ANONIMA;BCBA;1;True
MERVAL;EDN;;;;EMPRESA DISTRIB. Y COMERCIALIZADORA NORTE S.A.;BCBA;1;True
MERVAL;FERR;;;;FERRUM S.A.;BCBA;1;True
MERVAL;FIPL;;;;FIPLASTO S.A.;BCBA;1;True
MERVAL;GAMI;;;;B GAMING S.A.;BCBA;1;True
MERVAL;GARO;;;;GAROVAGLIO Y ZORRAQUIN S. A.;BCBA;1;True
MERVAL;GBAN;;;;NATURGY BAN S.A.;BCBA;1;True
MERVAL;GCDI;;;;GCDI S.A.;BCBA;1;True
MERVAL;GCLA;;;;GRUPO CLARIN S.A.;BCBA;1;True
MERVAL;GGAL;;;;GRUPO FINANCIERO GALICIA S.A.;BCBA;1;True
MERVAL;GRIM;;;;GRIMOLDI S.A.;BCBA;1;True
MERVAL;HARG;;;;HOLCIM (Argentina) S.A.;BCBA;1;True
MERVAL;HAVA;;;;HAVANNA HOLDING S.A.;BCBA;1;True
MERVAL;INTR;;;;COMPAÑIA INTRODUCTORA DE BUENOS AIRES S.A.;BCBA;1;True
MERVAL;INVJ;;;;INVERSORA JURAMENTO S.A.;BCBA;1;True
MERVAL;IRSA;;;;IRSA INVERSIONES Y REPRESENTACIONES S.A.;BCBA;1;True
MERVAL;LEDE;;;;LEDESMA S.A.;BCBA;1;True
MERVAL;LOMA;;;;Loma Negra C.I.A.S.A.;BCBA;1;True
MERVAL;LONG;;;;LONGVIE S.A.;BCBA;1;True
MERVAL;METR;;;;METROGAS S.A.;BCBA;1;True
MERVAL;MIRG;;;;MIRGOR S.A.;BCBA;1;True
MERVAL;MOLA;;;;MOLINOS AGRO S.A.;BCBA;1;True
MERVAL;MOLI;;;;MOLINOS RIO DE LA PLATA S.A.;BCBA;1;True
MERVAL;MORI;;;;MORIXE HERMANOS S.A.;BCBA;1;True
MERVAL;MTR;;;;MATBA ROFEX SOCIEDAD ANÓNIMA;BCBA;1;True
MERVAL;OEST;;;;GRUPO CONCESIONARIO DEL OESTE S.A.;BCBA;1;True
MERVAL;PAMP;;;;PAMPA ENERGÍA S.A.;BCBA;1;True
MERVAL;PATA;;;;IMPORTADORA Y EXPORTADORA DE LA PATAGONIA S.A.;BCBA;1;True
MERVAL;POLL;;;;POLLEDO S.A.;BCBA;1;True
MERVAL;RICH;;;;LABORATORIOS RICHMOND S.A.C.I.F.;BCBA;1;True
MERVAL;RIGO;;;;RIGOLLEAU S.A.;BCBA;1;True
MERVAL;ROSE;;;;INSTITUTO ROSENBUSCH S.A.R;BCBA;1;True
MERVAL;SAMI;;;;S.A. SAN MIGUEL;BCBA;1;True
MERVAL;SEMI;;;;MOLINOS JUAN SEMINO S.A.;BCBA;1;True
MERVAL;SUPV;;;;GRUPO SUPERVIELLE S.A.;BCBA;1;True
MERVAL;TECO2;;;;TELECOM ARGENTINA S. A.;BCBA;1;True
MERVAL;TGNO4;;;;TRANSPORTADORA DE GAS DEL NORTE S.A.;BCBA;1;True
MERVAL;TGSU2;;;;TRANSPORTADORA DE GAS DEL SUR S.A.;BCBA;1;True
MERVAL;TRAN;;;;TRANSENER S.A.;BCBA;1;True
MERVAL;TXAR;;;;TERNIUM ARGENTINA S.A.;BCBA;1;True
MERVAL;VALO;;;;BANCO DE VALORES S.A.;BCBA;1;True
MERVAL;YPFD;;;;YPF S.A.;BCBA;1;True
