especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
ARC1D,MEP,CI,100.0,103.3,100.0,-1.96,100.0,100.0,100.0,1000,1000.0,102.0,16:30:04,ONS
ARC1D,MEP,48hs,98.1,103.0,103.0,0.54,103.4,103.4,101.0,99412,101711.0,102.45,17:00:19,ONS
ARC1O,ARS,CI,49000.0,51600.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
ARC1O,ARS,48hs,48050.0,51800.0,50700.0,-0.59,50010.0,51800.0,50000.0,219486,110496143.0,51000.0,17:00:17,ONS
CAC2D,MEP,48hs,100.0,105.4,104.5,-1.18,105.75,105.75,104.5,15000,15768.0,105.75,17:00:13,ONS
CAC2O,ARS,CI,0.0,52000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
CAC2O,ARS,48hs,52050.0,52500.0,52000.0,-1.89,53000.0,54399.0,50600.0,31000,16121230.0,53000.0,17:00:19,ONS
CLSID,MEP,CI,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
CLSID,MEP,48hs,32.25,33.75,32.8,1.55,33.0,33.0,32.25,82001,26704.0,32.3,17:00:07,ONS
CLSIO,ARS,CI,15900.0,16500.0,16000.0,0.0,16000.0,16000.0,16000.0,100,16000.0,16000.0,16:30:25,ONS
CLSIO,ARS,48hs,16000.0,22000.0,16300.0,0.31,16549.0,16550.0,16000.0,125558,20340077.0,16250.0,17:01:56,ONS
CP17D,MEP,48hs,77.0,81.95,81.0,0.75,81.35,81.5,80.45,12000,9719.0,80.4,17:00:11,ONS
CP17O,ARS,CI,39380.5,41200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
CP17O,ARS,48hs,37500.0,39300.0,39000.0,-3.7,41000.0,41000.0,38500.0,48000,18951710.0,40500.0,17:00:10,ONS
CP25D,MEP,CI,97.0,0.0,96.68,0.03,96.68,96.68,96.68,522,504.0,96.65,16:30:14,ONS
CP25D,MEP,48hs,100.0,104.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
CP25O,ARS,CI,50455.0,51500.0,50547.0,2.12,50547.0,50547.0,50547.0,1,505.0,49500.0,16:30:19,ONS
CP25O,ARS,48hs,48750.0,50750.0,50800.0,-0.39,51000.0,51000.0,50800.0,47617,24237595.0,51000.0,17:00:10,ONS
CP30D,MEP,48hs,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
CP30O,ARS,CI,30100.0,0.0,30100.0,14.89,30100.0,30100.0,30100.0,3162,951762.0,26200.0,16:30:17,ONS
CP30O,ARS,24hs,31000.0,34250.0,34250.0,0.15,31000.0,34250.0,31000.0,2002692,685834520.0,34200.0,17:00:29,ONS
CP30O,ARS,48hs,30500.0,31000.0,31000.0,6.53,30850.0,31000.0,30500.0,425041,131125005.0,29100.0,17:00:22,ONS
CP32D,MEP,CI,0.0,101.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
CP32D,MEP,48hs,97.15,103.0,100.0,3.09,99.55,100.0,99.5,8302,8262.0,97.0,17:00:15,ONS
