especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
ARC1D,MEP,CI,0.0,0.0,0.0,0.0,,ONS
ARC1D,MEP,48hs,101.9,-0.1,102.2,102.0,17:00:10,ONS
ARC1O,ARS,CI,0.0,0.0,0.0,0.0,,ONS
ARC1O,ARS,48hs,49000.0,0.0,49500.0,49000.0,17:00:19,ONS
CAC2D,MEP,48hs,103.0,0.0,105.5,103.0,17:00:10,ONS
CAC2O,ARS,48hs,50700.0,1.2,49600.0,50100.0,17:00:10,ONS
CLSID,MEP,CI,0.0,0.0,0.0,0.0,,ONS
CLSID,MEP,48hs,30.5,0.0,30.99,30.5,17:00:10,ONS
CLSIO,ARS,CI,0.0,0.0,0.0,0.0,,ONS
CLSIO,ARS,48hs,14849.0,0.33,14900.0,14800.0,17:00:20,ONS
CP17D,MEP,CI,0.0,0.0,0.0,0.0,,ONS
CP17D,MEP,48hs,0.0,0.0,0.0,0.0,,ONS
CP17O,ARS,CI,38200.0,0.32,37550.0,38080.0,16:30:14,ONS
CP17O,ARS,48hs,37600.0,-1.05,37750.0,38000.0,17:00:12,ONS
CP25D,MEP,CI,0.0,0.0,0.0,0.0,,ONS
CP25D,MEP,48hs,104.0,-0.48,104.0,104.5,17:00:29,ONS
CP25O,ARS,CI,47995.0,1.04,47995.0,47500.0,16:30:07,ONS
CP25O,ARS,48hs,50000.0,-1.09,50500.0,50550.0,17:00:10,ONS
CP30O,ARS,48hs,29100.0,-2.35,29100.0,29800.0,17:00:26,ONS
CP32D,MEP,48hs,100.0,0.1,100.0,99.9,17:00:10,ONS
CP32O,ARS,24hs,48750.0,0.0,48750.0,0.0,17:00:23,ONS
CP32O,ARS,48hs,48000.0,1.48,48000.0,47300.0,17:00:09,ONS
CRCED,MEP,CI,0.0,0.0,0.0,0.0,,ONS
CRCED,MEP,48hs,55.9,-0.18,56.5,56.0,17:00:10,ONS
CRCEO,ARS,CI,26900.0,3.07,26500.0,26100.0,16:30:15,ONS
CRCEO,ARS,48hs,27290.0,1.87,26932.0,26790.0,17:00:09,ONS
CS34D,MEP,CI,43.0,-1.52,43.0,43.67,16:30:13,ONS
CS34D,MEP,48hs,44.8,-0.44,44.8,45.0,12:18:05,ONS
CS34O,ARS,CI,20500.0,0.13,20500.0,20473.02,16:30:08,ONS
CS34O,ARS,48hs,20375.0,-3.89,21200.0,21200.0,17:00:09,ONS
CS36O,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
CS37D,MEP,48hs,0.0,0.0,0.0,0.0,,ONS
CS37O,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
CS38D,MEP,CI,0.0,0.0,0.0,0.0,,ONS
CS38D,MEP,48hs,108.05,4.8,104.0,103.1,17:00:23,ONS
CS38O,ARS,CI,51695.0,3.0,49000.0,50187.97,16:30:18,ONS
CS38O,ARS,48hs,50325.0,-0.05,50500.0,50350.0,17:00:12,ONS
CSJXD,MEP,48hs,0.0,0.0,0.0,0.0,,ONS
CSJXO,ARS,CI,0.0,0.0,0.0,0.0,,ONS
CSJXO,ARS,48hs,16110.0,0.69,16110.0,16000.0,17:00:29,ONS
CSKZD,MEP,CI,0.0,0.0,0.0,0.0,,ONS
CSKZD,MEP,48hs,78.0,0.0,78.0,78.0,17:00:10,ONS
CSKZO,ARS,48hs,38700.0,0.26,38700.0,38600.0,17:00:17,ONS
DNC2D,MEP,CI,103.2,0.0,103.2,103.2,16:30:27,ONS
DNC2D,MEP,48hs,101.5,-0.25,102.0,101.75,17:00:10,ONS
DNC2O,ARS,CI,47000.0,-3.32,47000.0,48613.0,16:30:08,ONS
DNC2O,ARS,24hs,49000.0,0.0,49000.0,49000.0,17:00:12,ONS
DNC2O,ARS,48hs,49050.0,-0.46,49000.0,49279.0,17:00:10,ONS
GN34D,MEP,CI,0.0,0.0,0.0,0.0,,ONS
GN34D,MEP,48hs,78.0,2.63,78.0,76.0,17:00:28,ONS
GN34O,ARS,CI,0.0,0.0,0.0,0.0,,ONS
GN34O,ARS,48hs,37500.0,-0.27,38000.0,37600.0,17:00:25,ONS
GNCXD,MEP,CI,0.0,0.0,0.0,0.0,,ONS
GNCXD,MEP,48hs,95.9,-0.31,97.5,96.2,17:00:10,ONS
GNCXO,ARS,CI,0.0,0.0,0.0,0.0,,ONS
GNCXO,ARS,48hs,46300.0,0.43,47100.0,46100.0,17:00:13,ONS
HJC6D,MEP,48hs,0.0,0.0,0.0,0.0,,ONS
HJC6O,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
HJC7D,MEP,48hs,0.0,0.0,0.0,0.0,,ONS
HJC7O,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
HJC8D,MEP,48hs,0.0,0.0,0.0,0.0,,ONS
HJC8O,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
IRC8D,MEP,CI,0.0,0.0,0.0,0.0,,ONS
IRC8D,MEP,48hs,40.0,1.65,39.45,39.35,17:00:13,ONS
IRC8O,ARS,CI,0.0,0.0,0.0,0.0,,ONS
