tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
ONS;AEC1O;AEC1D;;;AES CL. 1 VTO.14/07/25;BCBA;1;True
ONS;ARC1O;ARC1D;;;AA2000 REGS 8.5% V.01/08/2031;BCBA;1;True
ONS;CAC2O;CAC2D;;;CAPEX CLASE 2 REGS 6.875% 15/05/2024;BCBA;1;True
ONS;CAC3O;CAC3D;;;CAPEX CLASE 3 U$S V.27/02/2026;BCBA;1;True
ONS;CLSIO;CLSID;;;CLISA REGS 25/07/2027;BCBA;1;True
ONS;CP17O;CP17D;;;CGC USD 2025 Clase 17 - 9.5% 08/03/2025;BCBA;1;True
ONS;CP25O;CP25D;;;CIA GRAL COMB CL.25 US$ 25-02-2024;BCBA;1;True
ONS;CP28O;CP28D;;;CIA GEN. COMB. CL.28 V.07/09/2026;BCBA;1;True
ONS;CP30O;CP30D;;;CIA GEN. COMB. CL.30 V.10/03/2025;BCBA;1;True
ONS;CP31O;CP31D;;;CIA GEN. COMB. CL.31 V.09/09/2026;BCBA;1;True
ONS;CP32O;CP32D;;;CIA GEN. COMB. CL.32 V.09/12/2025;BCBA;1;True
ONS;CRCEO;CRCED;;;CELULOSA CL. 13 USD 10% V.04/06/25;BCBA;1;True
ONS;CS34O;CS34D;;;CRESUD S.20 CL34 V 30/06/24;BCBA;1;True
ONS;CS36O;CS36D;;;CRESUD S. 22 CL. 36 V.18/02/25;BCBA;1;True
ONS;CS37O;CS37D;;;CRESUD S. 22 CL. 37 V.15/03/25;BCBA;1;True
ONS;CS38O;CS38D;;;CRESUD CLASE 38 V. 03.03.2026;BCBA;1;True
ONS;CS40O;CS40D;;;CRESUD CLASE 40 V. 14.07.2025;BCBA;1;True
ONS;CSIWO;CSIWD;;;CRSEUD S.17 CL.30 V.31/08/2023;BCBA;1;False
ONS;CSJXO;CSJXD;;;CRESUD S18 CL.31 U$S 9% VTO.12/11/23;BCBA;1;True
ONS;CSKZO;CSKZD;;;CRESUD S.19 US$ 6.99% V06/07/24;BCBA;1;True
ONS;DNC2O;DNC2D;;;EDENOR CL.2 V.22/11/24;BCBA;1;True
ONS;GN34O;GN34D;;;GENNEIA CL.34 U$S VTO.10-08-2024;BCBA;1;True
ONS;GN35O;GN35D;;;GENNEIA CL.35 U$S VTO.23-12-2024;BCBA;1;True
ONS;GNCXO;GNCXD;;;GENNEIA SA REGS 8.75% V.02/09/2027;BCBA;1;True
ONS;HJC6O;HJC6D;;;JOHN DEERE CL 6 VTO 18-12-23;BCBA;1;True
ONS;HJC7O;HJC7D;;;JOHN DEERE CL 7 VTO 07-10-23;BCBA;1;True
ONS;HJC8O;HJC8D;;;JOHN DEERE CL 8 VTO 07-10-23;BCBA;1;True
ONS;IRC8O;IRC8D;;;IRSA CL. 8 VT 12-11-2023;BCBA;1;True
ONS;IRCEO;IRCED;;;IRSA CL. 13 VT 26-08-2024;BCBA;1;True
