especie,nombre,ultimo,var,hora
A,Agilent Technologies Inc. Common Stock,$117.04,-1.124%,2023-06-27 20:16:06.697
AA,Alcoa Corporation Common Stock ,$34.43,4.365%,2023-06-27 20:16:06.697
AAC,Ares Acquisition Corporation Class A Ordinary Shares,$10.55,0.285%,2023-06-27 20:16:06.697
AACG,ATA Creativity Global American Depositary Shares,$1.39,1.46%,2023-06-27 20:16:06.697
AACI,Armada Acquisition Corp. I Common Stock,$10.40,0.971%,2023-06-27 20:16:06.697
AACIW,Armada Acquisition Corp. I Warrant,$0.1251,22.407%,2023-06-27 20:16:06.697
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$10.15,0.098%,2023-06-27 20:16:06.697
AADI,Aadi Bioscience Inc. Common Stock,$6.91,-5.342%,2023-06-27 20:16:06.697
AAIC,Arlington Asset Investment Corp Class A (new),$4.48,2.05%,2023-06-27 20:16:06.697
AAIC^B,Arlington Asset Investment Corp 7.00% ,$18.6933,0.00%,2023-06-27 20:16:06.697
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$22.72,0.00%,2023-06-27 20:16:06.697
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$23.44,0.171%,2023-06-27 20:16:06.697
AAL,American Airlines Group Inc. Common Stock,$17.35,5.535%,2023-06-27 20:16:06.697
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,$22.93,0.262%,2023-06-27 20:16:06.697
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,$22.55,0.00%,2023-06-27 20:16:06.697
AAMC,Altisource Asset Management Corp Com,$53.65,-3.036%,2023-06-27 20:16:06.697
AAME,Atlantic American Corporation Common Stock,$1.98,-3.325%,2023-06-27 20:16:06.697
AAN,Aarons Holdings Company Inc. Common Stock ,$13.86,8.451%,2023-06-27 20:16:06.697
AAOI,Applied Optoelectronics Inc. Common Stock,$4.85,4.301%,2023-06-27 20:16:06.697
AAON,AAON Inc. Common Stock,$96.39,0.837%,2023-06-27 20:16:06.697
AAP,Advance Auto Parts Inc.,$68.32,1.531%,2023-06-27 20:16:06.697
AAPL,Apple Inc. Common Stock,$188.06,1.506%,2023-06-27 20:16:06.697
AAT,American Assets Trust Inc. Common Stock,$19.20,2.182%,2023-06-27 20:16:06.697
AAU,Almaden Minerals Ltd. Common Shares,$0.1281,0.078%,2023-06-27 20:16:06.697
AB,AllianceBernstein Holding L.P.  Units,$31.78,-0.501%,2023-06-27 20:16:06.697
